"","SCHOOL_TYPE","RACE","FAM_COMP","SES","PT_ED","PT_PUSH","COMP_AND_INTERNET","PERC_SOPH_COLLEGE_PREP","LOWEST_TEACHER_SALARY_THOUSANDS","TEST_COMP","SESQU_2011","DROPPED_OUT","ED_ATNMT_BACHELORS","PT_ED_YEARS","PT_PUSH_YEARS","LH_LACK_OF_SPACE","LH_POOR_BUILDINGS","LH_POOR_HEATING_AIR_LIGHT","LH_LACK_TEXT","LH_POOR_FACILITIES","LH_POOR_TECH","FREE_LUNCH_CATEGORIES","FREE_LUNCH_MAJ","MATH_PUSH_YEARS","ENGLISH_PUSH_YEARS","ED_ATNMT","TEST_COMP_QU"
"21","Public","Hispanic","Two Parents",-0.63,"Attend PS/Associate's","Advanced Degree",TRUE,-9,37.215,45.95,"3",FALSE,FALSE,5,12,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,6,6,"Associates/
Some Undergrad",2
"22","Public","Hispanic","Single/Absent Parent",-0.69,"Attend PS/Associate's",NA,FALSE,-9,37.215,46.84,"1",FALSE,FALSE,7,6,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,6,6,"Associates/
Some Undergrad",2
"23","Public","Hispanic","Two Parents",-0.69,"Some HS/GED","Advanced Degree",FALSE,-9,37.215,39.17,NA,FALSE,NA,4,10,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,4,4,NA,1
"24","Public","Hispanic","Two Parents",-1.22,"Some HS/GED","Advanced Degree",FALSE,-9,37.215,40.7,NA,FALSE,NA,4,10,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,4,8,NA,1
"25","Public","API","Two Parents",-0.64,"Some HS/GED","Bachelor's",TRUE,-9,37.215,51.96,"2",FALSE,TRUE,1,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,10,"Bachelors",3
"26","Public","API","Two Parents",-0.12,"Bachelors","Advanced Degree",TRUE,-9,37.215,57.72,"4",FALSE,TRUE,8,10,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,10,"Bachelors",4
"27","Public","API","Two Parents",-1,"Some HS/GED","Bachelor's",TRUE,-9,37.215,43.62,NA,FALSE,NA,1,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,8,NA,2
"28","Public","White","Two Parents",0.26,"Attend PS/Associate's","Advanced Degree",TRUE,-9,37.215,71.11,"4",FALSE,TRUE,6,10,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,10,"Master's/
Post-Bacc. Cert.",4
"29","Public","White","Two Parents",0.48,"Attend PS/Associate's","Bachelor's",TRUE,-9,37.215,54.72,"4",FALSE,TRUE,6,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,8,"Bachelors",3
"30","Public","Hispanic","Two Parents",-0.16,"Some HS/GED","Some HS/GED",TRUE,-9,37.215,42.19,NA,FALSE,NA,4,4,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,6,NA,NA,1
"31","Public","Hispanic","Single/Absent Parent",-1.16,"Some HS/GED","Bachelor's",TRUE,-9,37.215,41.66,NA,FALSE,NA,4,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,4,6,NA,1
"32","Public","White","Two Parents",-0.24,"Attend PS/Associate's","Advanced Degree",NA,-7,NA,50.57,"2",FALSE,FALSE,6,12,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,NA,NA,"Associates/
Some Undergrad",3
"33","Public","White","Two Parents",0.05,"Bachelors","Advanced Degree",NA,-7,NA,56.21,NA,FALSE,NA,8,10,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,4,NA,NA,3
"34","Public","White","Two Parents",-0.34,"Some HS/GED",NA,NA,-7,NA,51.31,"2",FALSE,FALSE,4,6,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,NA,NA,"Associates/
Some Undergrad",3
"35","Public","Black","Two Parents",-0.77,"Some HS/GED","Bachelor's",NA,-7,NA,44.29,NA,FALSE,NA,4,8,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,NA,NA,NA,2
"36","Public","White","Single/Absent Parent",0.37,"Attend PS/Associate's","Advanced Degree",NA,-7,NA,66.52,"4",FALSE,TRUE,6,10,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,10,10,"Master's/
Post-Bacc. Cert.",4
"37","Public","White","Two Parents",0.19,"Attend PS/Associate's","Bachelor's",NA,-7,NA,58.65,"3",FALSE,TRUE,6,8,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,NA,NA,"Bachelors",4
"38","Public","AI/AN/Mixed","Two Parents",0.09,"Attend PS/Associate's","Advanced Degree",NA,-7,NA,50.11,"1",FALSE,FALSE,7,10,NA,NA,NA,NA,NA,NA,"<=30%",FALSE,4,NA,"GED",2
"39","Public","Black","Single/Absent Parent",-0.48,"Attend PS/Associate's","Bachelor's",TRUE,-7,NA,45.82,"1",FALSE,FALSE,7,8,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,7,7,"Associates/
Some Undergrad",2
"40","Public","Black","Single/Absent Parent",-0.43,"Some HS/GED","Bachelor's",FALSE,-7,NA,51.43,NA,FALSE,NA,4,8,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,NA,NA,NA,3
"41","Public","White","Single/Absent Parent",-0.64,"Some HS/GED","Advanced Degree",TRUE,-7,NA,36.06,NA,FALSE,NA,4,12,NA,NA,NA,NA,NA,NA,"<=30%",FALSE,6,NA,NA,1
"42","Public","White","Two Parents",0.05,"Attend PS/Associate's","Advanced Degree",NA,-7,NA,35.89,"4",FALSE,FALSE,6,10,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,NA,NA,"Associates/
Some Undergrad",1
"43","Public","White","Two Parents",-0.93,"Some HS/GED",NA,TRUE,-7,NA,58.41,"2",FALSE,FALSE,4,6,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,8,NA,"GED",4
"44","Public",NA,"Single/Absent Parent",NA,NA,"Advanced Degree",NA,-7,NA,38.25,"2",FALSE,FALSE,NA,10,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,NA,NA,"Associates/
Some Undergrad",1
"45","Public","Black","Two Parents",-0.44,"Some HS/GED","Advanced Degree",TRUE,-7,NA,48.48,"2",FALSE,FALSE,4,12,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,NA,NA,"Associates/
Some Undergrad",2
"46","Public","White","Two Parents",1.13,"Advanced Degree","Bachelor's",TRUE,-7,NA,56.59,NA,FALSE,NA,10,8,NA,NA,NA,NA,NA,NA,"<=50%",FALSE,NA,NA,NA,3
"47","Public","White","Single/Absent Parent",-0.58,"Attend PS/Associate's","Bachelor's",TRUE,-7,NA,43.25,"4",TRUE,TRUE,6,8,NA,NA,NA,NA,NA,NA,"<=30%",FALSE,NA,NA,"Master's/
Post-Bacc. Cert.",2
"48","Public","Black","Single/Absent Parent",-0.57,"Some HS/GED","Some HS/GED",TRUE,80,NA,48.25,"3",FALSE,FALSE,4,4,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,NA,NA,"Associates/
Some Undergrad",2
"49","Public","Black","Single/Absent Parent",-0.12,"Advanced Degree","Advanced Degree",FALSE,80,NA,36.16,"3",FALSE,FALSE,10,10,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,NA,6,"Associates/
Some Undergrad",1
"50","Public","Black","Single/Absent Parent",0.21,"Attend PS/Associate's","Advanced Degree",TRUE,80,NA,51.13,"1",FALSE,FALSE,5,12,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,8,NA,"Associates/
Some Undergrad",3
"51","Public","Black","Single/Absent Parent",-1.04,"Some HS/GED","Advanced Degree",NA,80,NA,33.17,"1",FALSE,FALSE,4,10,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,NA,4,"GED",1
"52","Public","Hispanic","Single/Absent Parent",-0.24,"Bachelors","Bachelor's",FALSE,80,NA,32.83,"2",FALSE,FALSE,8,8,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,8,6,"Associates/
Some Undergrad",1
"53","Public","Black","Single/Absent Parent",-1.52,"Some HS/GED","Bachelor's",FALSE,80,NA,36.81,"1",TRUE,FALSE,1,8,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,NA,4,"No GED",1
"54","Public","Hispanic","Single/Absent Parent",-0.94,"Some HS/GED",NA,FALSE,80,NA,40.78,"2",FALSE,FALSE,4,6,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,6,6,"Associates/
Some Undergrad",1
"55","Public","Black","Two Parents",-0.64,"Attend PS/Associate's","Advanced Degree",TRUE,80,NA,31.53,"1",FALSE,FALSE,5,12,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,NA,4,"Associates/
Some Undergrad",1
"56","Public","Hispanic","Single/Absent Parent",-1.45,"Some HS/GED","Bachelor's",FALSE,80,NA,40.54,"1",TRUE,FALSE,4,8,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,NA,NA,"Associates/
Some Undergrad",1
"57","Public","Black","Two Parents",0.63,"Advanced Degree","Advanced Degree",NA,80,NA,31.94,"2",FALSE,FALSE,12,12,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,NA,6,"Associates/
Some Undergrad",1
"58","Public","Black","Two Parents",-0.34,"Attend PS/Associate's","Advanced Degree",TRUE,80,NA,47.81,"1",FALSE,FALSE,7,12,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,6,NA,"Associates/
Some Undergrad",2
"59","Public","Hispanic","Single/Absent Parent",-0.82,"Some HS/GED",NA,FALSE,80,NA,33.48,NA,TRUE,NA,4,6,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,4,4,NA,1
"60","Public","Hispanic","Single/Absent Parent",-0.3,"Attend PS/Associate's","Advanced Degree",TRUE,80,NA,43.67,"2",FALSE,FALSE,5,10,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,6,NA,"Associates/
Some Undergrad",2
"61","Public","Hispanic","Single/Absent Parent",-0.3,"Attend PS/Associate's","Advanced Degree",TRUE,80,NA,37.51,"3",FALSE,FALSE,5,12,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,NA,NA,"Associates/
Some Undergrad",1
"62","Public","Black","Two Parents",0.55,"Attend PS/Associate's","Advanced Degree",TRUE,80,NA,37.12,"3",FALSE,TRUE,7,10,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,4,NA,"Bachelors",1
"63","Public","Black","Single/Absent Parent",-0.02,"Attend PS/Associate's","Advanced Degree",TRUE,80,NA,34.44,"4",TRUE,TRUE,5,10,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,NA,4,"Bachelors",1
"64","Public","Black","Single/Absent Parent",0.01,"Attend PS/Associate's","Advanced Degree",FALSE,80,NA,38.62,"1",FALSE,FALSE,5,12,"No","Yes","Yes","Yes",TRUE,TRUE,">75%",TRUE,NA,7,"Associates/
Some Undergrad",1
"65","Public",NA,"Single/Absent Parent",NA,NA,NA,NA,-8,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,">75%",TRUE,NA,NA,NA,NA
"66","Public",NA,"Single/Absent Parent",NA,NA,NA,NA,-8,NA,NA,"1",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,">75%",TRUE,NA,NA,"GED",NA
"67","Public",NA,"Two Parents",NA,NA,NA,NA,-8,NA,NA,"2",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,">75%",TRUE,NA,NA,"Associates/
Some Undergrad",NA
"68","Public","Black","Two Parents",-1.14,"Some HS/GED","Bachelor's",TRUE,-9,37,48.51,NA,FALSE,NA,1,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,NA,4,NA,2
"69","Public","Black","Single/Absent Parent",0.51,"Advanced Degree","Bachelor's",NA,-9,37,27.13,"2",FALSE,FALSE,10,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,4,"Associates/
Some Undergrad",1
"70","Public","API","Two Parents",-0.65,"Some HS/GED","Advanced Degree",TRUE,-9,37,47.22,"3",FALSE,FALSE,4,10,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,6,"Associates/
Some Undergrad",2
"71","Public","API","Two Parents",0.53,"Advanced Degree","Advanced Degree",TRUE,-9,37,66.11,"4",FALSE,TRUE,12,10,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,12,12,"Master's/
Post-Bacc. Cert.",4
"72","Public","Black","Two Parents",0.09,"Attend PS/Associate's","Advanced Degree",NA,-9,37,46.86,NA,FALSE,NA,6,12,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,10,8,NA,2
"73","Public","Black","Two Parents",-0.76,"Some HS/GED","Bachelor's",NA,-9,37,35.08,"2",FALSE,FALSE,4,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,6,6,"GED",1
"74","Public","Hispanic","Single/Absent Parent",-1.2,"Some HS/GED","Bachelor's",TRUE,-9,37,44.54,"2",TRUE,FALSE,4,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,4,4,"Associates/
Some Undergrad",2
"75","Public","API","Two Parents",0.61,"Bachelors","Advanced Degree",TRUE,-9,37,58.09,"4",FALSE,TRUE,8,10,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,8,"Bachelors",4
"76","Public","AI/AN/Mixed","Two Parents",0.09,"Attend PS/Associate's","Bachelor's",TRUE,-9,37,53.96,"4",FALSE,TRUE,7,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,8,"Bachelors",3
"77","Public","Hispanic","Two Parents",-0.99,"Some HS/GED","Bachelor's",NA,-9,37,24.73,"2",TRUE,FALSE,4,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,6,6,"Associates/
Some Undergrad",1
"78","Public","Black","Two Parents",0.6,"Bachelors","Bachelor's",TRUE,-9,37,39.97,"3",FALSE,FALSE,8,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,6,4,"Associates/
Some Undergrad",1
"79","Public","Black","Single/Absent Parent",0.79,"Advanced Degree","Bachelor's",FALSE,-9,37,33.79,"3",FALSE,FALSE,12,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,4,4,"Associates/
Some Undergrad",1
"80","Public","Hispanic","Two Parents",0.44,"Bachelors","Advanced Degree",TRUE,-9,37,52.51,"1",FALSE,FALSE,8,12,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,6,"Associates/
Some Undergrad",3
"81","Public","Hispanic","Two Parents",-0.92,"Attend PS/Associate's","Bachelor's",FALSE,-9,37,44.2,NA,FALSE,NA,6,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,6,NA,2
"82","Public","White","Two Parents",0.92,"Bachelors","Bachelor's",TRUE,-9,37,65.32,"3",FALSE,TRUE,8,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,10,8,"Bachelors",4
"83","Public","API","Two Parents",0.23,"Attend PS/Associate's","Advanced Degree",TRUE,-9,37,55.27,"4",FALSE,FALSE,6,10,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,10,8,"Associates/
Some Undergrad",3
"84","Public","API","Two Parents",0.55,"Bachelors","Bachelor's",TRUE,-9,37,45.44,"3",FALSE,TRUE,8,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,10,"Bachelors",2
"85","Public","API","Two Parents",1.41,"Advanced Degree","Advanced Degree",TRUE,-9,37,37.1,"1",FALSE,FALSE,12,12,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,4,"Associates/
Some Undergrad",1
"86","Public","API","Single/Absent Parent",-0.91,"Some HS/GED","Bachelor's",TRUE,-9,37,60.64,"4",FALSE,TRUE,1,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,10,4,"Bachelors",4
"87","Public","Hispanic","Two Parents",-1.17,"Attend PS/Associate's",NA,NA,-9,37,30.63,NA,FALSE,NA,6,6,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,6,4,NA,1
"88","Public","API","Two Parents",-0.14,"Some HS/GED","Advanced Degree",TRUE,-9,37,47.87,"2",FALSE,FALSE,4,10,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,6,4,"Associates/
Some Undergrad",2
"89","Public","Black","Single/Absent Parent",-0.05,"Attend PS/Associate's","Advanced Degree",TRUE,-9,37,36.28,NA,FALSE,NA,7,10,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,7,NA,1
"90","Public","API","Two Parents",1.06,"Bachelors","Advanced Degree",TRUE,-9,37,53.83,"2",FALSE,FALSE,8,10,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,10,7,"Associates/
Some Undergrad",3
"91","Public","API","Two Parents",0.55,"Advanced Degree","Advanced Degree",TRUE,-9,37,50,"4",FALSE,TRUE,12,12,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,10,8,"Bachelors",2
"92","Public","API","Two Parents",-0.78,"Some HS/GED","Advanced Degree",TRUE,-9,37,49.66,"4",FALSE,TRUE,4,10,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,4,"Bachelors",2
"93","Public","Black","Single/Absent Parent",0.33,"Bachelors","Bachelor's",TRUE,-9,37,29.55,"2",FALSE,FALSE,8,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,6,4,"Associates/
Some Undergrad",1
"94","Public","Hispanic","Two Parents",-0.38,"Attend PS/Associate's","Advanced Degree",TRUE,-9,37,39.64,"2",FALSE,FALSE,7,10,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,7,6,"Associates/
Some Undergrad",1
"95","Public","API","Two Parents",0.15,"Bachelors","Bachelor's",TRUE,-9,37,52.56,"1",FALSE,FALSE,8,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,8,"Associates/
Some Undergrad",3
"96","Public","API","Two Parents",-0.91,"Some HS/GED","Bachelor's",TRUE,-9,37,45.09,"4",FALSE,TRUE,4,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,10,"Bachelors",2
"97","Public","Hispanic","Two Parents",-0.65,"Attend PS/Associate's","Advanced Degree",TRUE,-9,37,39.14,"3",FALSE,FALSE,6,12,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,7,4,"Associates/
Some Undergrad",1
"98","Public","API","Two Parents",-0.3,"Some HS/GED","Bachelor's",TRUE,-9,37,60.64,NA,FALSE,NA,4,8,"Yes","Yes","Yes","Yes",TRUE,TRUE,"<=30%",FALSE,8,10,NA,4
"99","Public",NA,"Two Parents",NA,NA,NA,NA,-8,NA,NA,"3",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"<=30%",FALSE,NA,NA,"Bachelors",NA
"100","Public","White","Two Parents",0.98,"Bachelors","Bachelor's",TRUE,0,36,64.53,"4",FALSE,TRUE,8,8,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,10,8,"Bachelors",4
"101","Public","Hispanic","Two Parents",-1.11,"Some HS/GED","Advanced Degree",NA,0,36,38.66,NA,FALSE,NA,4,12,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,NA,NA,NA,1
"102","Public","Hispanic","Two Parents",0.13,"Advanced Degree","Bachelor's",TRUE,0,36,45.24,"3",FALSE,FALSE,12,8,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,6,6,"Associates/
Some Undergrad",2
"103","Public","White","Two Parents",0.06,"Bachelors","Advanced Degree",TRUE,0,36,57.22,"4",FALSE,TRUE,8,10,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,10,12,"Master's/
Post-Bacc. Cert.",3
"104","Public","Black","Single/Absent Parent",0.52,"Advanced Degree","Advanced Degree",TRUE,0,36,44.79,"1",TRUE,FALSE,10,12,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,4,4,"No GED",2
"105","Public","White","Two Parents",0.8,"Bachelors","Advanced Degree",TRUE,0,36,55.92,"4",FALSE,TRUE,8,10,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,8,8,"Bachelors",3
"106","Public","White","Two Parents",0.59,"Bachelors","Bachelor's",TRUE,0,36,54.82,"4",FALSE,TRUE,8,8,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,8,8,"Master's/
Post-Bacc. Cert.",3
"107","Public","White","Two Parents",0.19,"Attend PS/Associate's","Advanced Degree",TRUE,0,36,61.34,NA,FALSE,NA,5,10,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,8,10,NA,4
"108","Public","Black","Two Parents",-0.41,"Attend PS/Associate's","Advanced Degree",TRUE,0,36,50.72,"3",FALSE,FALSE,6,12,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,10,4,"Associates/
Some Undergrad",3
"109","Public","Hispanic","Two Parents",-0.47,"Some HS/GED",NA,TRUE,0,36,44.59,NA,FALSE,NA,4,7,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,6,6,NA,2
"110","Public","Black","Single/Absent Parent",-0.96,"Bachelors","Advanced Degree",FALSE,0,36,40.08,NA,FALSE,NA,8,10,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,4,NA,NA,1
"111","Public","Hispanic","Single/Absent Parent",-0.92,"Some HS/GED","Advanced Degree",TRUE,0,36,48.57,"2",FALSE,TRUE,1,10,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,8,8,"Bachelors",2
"112","Public","Black","Single/Absent Parent",0.14,"Bachelors","Advanced Degree",FALSE,0,36,51.98,"3",FALSE,TRUE,8,10,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,6,6,"Master's/
Post-Bacc. Cert.",3
"113","Public","Hispanic","Two Parents",-1.02,"Attend PS/Associate's","Advanced Degree",TRUE,0,36,21.5,"4",TRUE,FALSE,5,12,"Yes","No","Yes","Yes",TRUE,TRUE,NA,NA,4,NA,"Associates/
Some Undergrad",1
