"","SCHOOL_TYPE","RACE","FAM_COMP","SES","PT_ED","PT_PUSH","COMP_HOME","HAS_INTERNET","TEACHER_TECH_ACCESS","PERC_SOPH_COLLEGE_PREP","LOWEST_TEACHER_SALARY_THOUSANDS","TEST_COMP","SESQU_2011","DROPPED_OUT","ED_ATNMT_BACHELORS","PT_ED_YEARS","PT_PUSH_YEARS","SES_2011","BYA50A_1","BYA50B_1","BYA50C_1","BYA50D_1","BYA50E_1","BYA50F_1","BYA50G_1","BYA50H_1","BYA50K_1","FREE_LUNCH_CATEGORIES","FREE_LUNCH_MAJ"
"51","Public","Black","Single/Absent Parent",-1.04,"Some HS/GED","Advanced Degree","1","1",11,80,28.385,33.17,"1",FALSE,FALSE,4,10,0.39,2,2,2,4,1,3,3,2,2,">75%",TRUE
"52","Public","Hispanic","Single/Absent Parent",-0.24,"Bachelors","Bachelor's","1","0",11,80,31.225,32.83,"2",FALSE,FALSE,8,8,0.42,2,2,2,4,1,3,3,2,1,">75%",TRUE
"53","Public","Black","Single/Absent Parent",-1.52,"Some HS/GED","Bachelor's","0","0",11,80,19.764,36.81,"1",TRUE,FALSE,1,8,0.13,2,2,2,4,1,3,3,2,1,">75%",TRUE
"54","Public","Hispanic","Single/Absent Parent",-0.94,"Some HS/GED","Some HS/GED","1","0",11,80,18.855,40.78,"2",FALSE,FALSE,4,6,0.2,2,2,2,4,1,3,3,2,3,">75%",TRUE
"55","Public","Black","Two Parents",-0.64,"Attend PS/Associate's","Advanced Degree","1","1",11,80,28,31.53,"1",FALSE,FALSE,5,12,0.2,2,2,2,4,1,3,3,2,2,">75%",TRUE
"56","Public","Hispanic","Single/Absent Parent",-1.45,"Some HS/GED","Bachelor's","0","0",11,80,18.855,40.54,"1",TRUE,FALSE,4,8,0.2,2,2,2,4,1,3,3,2,1,">75%",TRUE
"57","Public","Black","Two Parents",0.63,"Advanced Degree","Advanced Degree","1","1",11,80,28,31.94,"2",FALSE,FALSE,12,12,0,2,2,2,4,1,3,3,2,1,">75%",TRUE
"58","Public","Black","Two Parents",-0.34,"Attend PS/Associate's","Advanced Degree","1","1",11,80,31.23,47.81,"1",FALSE,FALSE,7,12,0.2,2,2,2,4,1,3,3,2,2,">75%",TRUE
"59","Public","Hispanic","Single/Absent Parent",-0.82,"Some HS/GED","Some HS/GED","0","0",11,80,21.525,33.48,"1",TRUE,FALSE,4,6,0.39,2,2,2,4,1,3,3,2,2,">75%",TRUE
"60","Public","Hispanic","Single/Absent Parent",-0.3,"Attend PS/Associate's","Advanced Degree","1","1",11,80,25,43.67,"2",FALSE,FALSE,5,10,0,2,2,2,4,1,3,3,2,2,">75%",TRUE
"61","Public","Hispanic","Single/Absent Parent",-0.3,"Attend PS/Associate's","Advanced Degree","1","1",11,80,33,37.51,"3",FALSE,FALSE,5,12,0.37,2,2,2,4,1,3,3,2,3,">75%",TRUE
"62","Public","Black","Two Parents",0.55,"Attend PS/Associate's","Advanced Degree","1","1",11,80,6.48,37.12,"3",FALSE,TRUE,7,10,0.15,2,2,2,4,1,3,3,2,2,">75%",TRUE
"63","Public","Black","Single/Absent Parent",-0.02,"Attend PS/Associate's","Advanced Degree","1","1",11,80,27.496,34.44,"4",TRUE,TRUE,5,10,0.68,2,2,2,4,1,3,3,2,3,">75%",TRUE
"64","Public","Black","Single/Absent Parent",0.01,"Attend PS/Associate's","Advanced Degree","1","0",11,80,24,38.62,"1",FALSE,FALSE,5,12,0.13,2,2,2,4,1,3,3,2,2,">75%",TRUE
"65","Public",NA,"Single/Absent Parent",-0.93,"Attend PS/Associate's","Bachelor's","1","1",0,-8,27.335,35.59,"2",FALSE,FALSE,5,8,0.2,2,3,2,4,3,3,3,3,3,">75%",TRUE
"66","Public",NA,"Single/Absent Parent",-0.65,"Some HS/GED","Advanced Degree","1","1",0,-8,7.2,53,"1",FALSE,FALSE,4,10,0.13,3,2,3,4,2,3,1,1,2,">75%",TRUE
"67","Public",NA,"Two Parents",-0.65,"Attend PS/Associate's","Advanced Degree","1","1",0,-8,32,38.95,"2",FALSE,FALSE,5,10,0.2,2,2,2,2,1,2,3,2,3,">75%",TRUE
"68","Public","Black","Two Parents",-1.14,"Some HS/GED","Bachelor's","1","1",8,-9,37,48.51,"2",FALSE,FALSE,1,8,0.2,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"69","Public","Black","Single/Absent Parent",0.51,"Advanced Degree","Bachelor's","1","1",8,-9,37,27.13,"2",FALSE,FALSE,10,8,0.28,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"70","Public","API","Two Parents",-0.65,"Some HS/GED","Advanced Degree","1","1",8,-9,37,47.22,"3",FALSE,FALSE,4,10,0.28,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"71","Public","API","Two Parents",0.53,"Advanced Degree","Advanced Degree","1","1",8,-9,37,66.11,"4",FALSE,TRUE,12,10,1.52,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"72","Public","Black","Two Parents",0.09,"Attend PS/Associate's","Advanced Degree","1","1",8,-9,37,46.86,"4",FALSE,TRUE,6,12,1.3,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"73","Public","Black","Two Parents",-0.76,"Some HS/GED","Bachelor's","1","1",8,-9,37,35.08,"2",FALSE,FALSE,4,8,0,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"74","Public","Hispanic","Single/Absent Parent",-1.2,"Some HS/GED","Bachelor's","1","1",8,-9,37,44.54,"2",TRUE,FALSE,4,8,0.04,4,3,4,3,3,2,2,2,3,"<=50%",FALSE
"75","Public","API","Two Parents",0.61,"Bachelors","Advanced Degree","1","1",8,-9,37,58.09,"4",FALSE,TRUE,8,10,0.69,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"76","Public","Other","Two Parents",0.09,"Attend PS/Associate's","Bachelor's","1","1",8,-9,37,53.96,"4",FALSE,TRUE,7,8,0.89,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"77","Public","Hispanic","Two Parents",-0.99,"Some HS/GED","Bachelor's","1","1",8,-9,37,24.73,"2",TRUE,FALSE,4,8,0.09,4,3,4,3,3,2,2,2,3,"<=50%",FALSE
"78","Public","Black","Two Parents",0.6,"Bachelors","Bachelor's","1","1",8,-9,37,39.97,"3",FALSE,FALSE,8,8,0.21,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"79","Public","Black","Single/Absent Parent",0.79,"Advanced Degree","Bachelor's","1","0",8,-9,37,33.79,"3",FALSE,FALSE,12,8,0.41,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"80","Public","Hispanic","Two Parents",0.44,"Bachelors","Advanced Degree","1","1",8,-9,37,52.51,"1",FALSE,FALSE,8,12,0.21,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"81","Public","Hispanic","Two Parents",-0.92,"Attend PS/Associate's","Bachelor's","0","0",8,-9,37,44.2,"2",FALSE,FALSE,6,8,0.19,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"82","Public","White","Two Parents",0.92,"Bachelors","Bachelor's","1","1",8,-9,37,65.32,"3",FALSE,TRUE,8,8,0.49,4,3,4,3,3,2,2,2,3,"<=50%",FALSE
"83","Public","API","Two Parents",0.23,"Attend PS/Associate's","Advanced Degree","1","1",8,-9,37,55.27,"4",FALSE,FALSE,6,10,0.92,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"84","Public","API","Two Parents",0.55,"Bachelors","Bachelor's","1","1",8,-9,37,45.44,"3",FALSE,TRUE,8,8,0.46,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"85","Public","API","Two Parents",1.41,"Advanced Degree","Advanced Degree","1","1",8,-9,37,37.1,"1",FALSE,FALSE,12,12,0.09,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"86","Public","API","Single/Absent Parent",-0.91,"Some HS/GED","Bachelor's","1","1",8,-9,37,60.64,"4",FALSE,TRUE,1,8,1.15,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"87","Public","Hispanic","Two Parents",-1.17,"Attend PS/Associate's","Bachelor's","1","1",8,-9,37,30.63,"1",FALSE,FALSE,6,6,0.16,4,3,4,3,3,2,2,2,3,"<=50%",FALSE
"88","Public","API","Two Parents",-0.14,"Some HS/GED","Advanced Degree","1","1",8,-9,37,47.87,"2",FALSE,FALSE,4,10,0.22,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"89","Public","Black","Single/Absent Parent",-0.05,"Attend PS/Associate's","Advanced Degree","1","1",8,-9,37,36.28,"2",FALSE,FALSE,7,10,0.09,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"90","Public","API","Two Parents",1.06,"Bachelors","Advanced Degree","1","1",8,-9,37,53.83,"2",FALSE,FALSE,8,10,0.12,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"91","Public","API","Two Parents",0.55,"Advanced Degree","Advanced Degree","1","1",8,-9,37,50,"4",FALSE,TRUE,12,12,1.03,4,3,4,3,3,2,2,2,3,"<=50%",FALSE
"92","Public","API","Two Parents",-0.78,"Some HS/GED","Advanced Degree","1","1",8,-9,37,49.66,"4",FALSE,TRUE,4,10,0.87,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"93","Public","Black","Single/Absent Parent",0.33,"Bachelors","Bachelor's","1","1",8,-9,37,29.55,"2",FALSE,FALSE,8,8,0.21,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"94","Public","Hispanic","Two Parents",-0.38,"Attend PS/Associate's","Advanced Degree","1","1",8,-9,37,39.64,"2",FALSE,FALSE,7,10,0.34,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"95","Public","API","Two Parents",0.15,"Bachelors","Bachelor's","1","1",8,-9,37,52.56,"1",FALSE,FALSE,8,8,0.13,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"96","Public","API","Two Parents",-0.91,"Some HS/GED","Bachelor's","1","1",8,-9,37,45.09,"4",FALSE,TRUE,4,8,1.1,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"97","Public","Hispanic","Two Parents",-0.65,"Attend PS/Associate's","Advanced Degree","1","1",8,-9,37,39.14,"3",FALSE,FALSE,6,12,0.12,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"98","Public","API","Two Parents",-0.3,"Some HS/GED","Bachelor's","1","1",8,-9,37,60.64,"4",FALSE,TRUE,4,8,0.7,4,3,4,3,3,2,2,2,3,"<=30%",FALSE
"99","Public",NA,"Two Parents",0.33,"Bachelors","Bachelor's","1","1",0,-8,29.8,43.21,"3",FALSE,TRUE,8,8,0.46,1,2,2,3,2,2,2,2,3,"<=30%",FALSE
"100","Public","White","Two Parents",0.98,"Bachelors","Bachelor's","1","1",12,0,36,64.53,"4",FALSE,TRUE,8,8,0.71,1,2,2,2,2,2,2,3,3,"<=5%",FALSE
"101","Public","Hispanic","Two Parents",-1.11,"Some HS/GED","Advanced Degree","0","0",12,0,36,38.66,"3",FALSE,TRUE,4,12,0.39,1,2,2,2,2,2,2,3,3,">75%",TRUE
"102","Public","Hispanic","Two Parents",0.13,"Advanced Degree","Bachelor's","1","1",12,0,36,45.24,"3",FALSE,FALSE,12,8,0.09,1,2,2,2,2,1,2,3,3,"<=30%",FALSE
"103","Public","White","Two Parents",0.06,"Bachelors","Advanced Degree","1","1",12,0,36,57.22,"4",FALSE,TRUE,8,10,1.55,1,2,2,2,2,2,2,3,3,"<=50%",FALSE
"104","Public","Black","Single/Absent Parent",0.52,"Advanced Degree","Advanced Degree","1","1",12,0,36,44.79,"1",TRUE,FALSE,10,12,0.47,1,2,2,2,2,2,2,3,3,"<=50%",FALSE
"105","Public","White","Two Parents",0.8,"Bachelors","Advanced Degree","1","1",12,0,36,55.92,"4",FALSE,TRUE,8,10,0.83,1,2,2,2,2,3,2,3,3,"<=30%",FALSE
"106","Public","White","Two Parents",0.59,"Bachelors","Bachelor's","1","1",12,0,36,54.82,"4",FALSE,TRUE,8,8,1.45,1,2,2,2,2,2,2,3,3,"<=50%",FALSE
"107","Public","White","Two Parents",0.19,"Attend PS/Associate's","Advanced Degree","1","1",12,0,36,61.34,"3",FALSE,TRUE,5,10,0.48,1,2,2,2,2,3,2,3,3,"<=5%",FALSE
"108","Public","Black","Two Parents",-0.41,"Attend PS/Associate's","Advanced Degree","1","1",12,0,36,50.72,"3",FALSE,FALSE,6,12,0.08,1,2,2,2,2,2,2,3,3,"<=30%",FALSE
"109","Public","Hispanic","Two Parents",-0.47,"Some HS/GED","Bachelor's","1","1",12,0,36,44.59,"2",FALSE,FALSE,4,7,0,1,2,2,2,2,2,2,3,3,"<=75%",TRUE
"110","Public","Black","Single/Absent Parent",-0.96,"Bachelors","Advanced Degree","0","0",12,0,36,40.08,"1",FALSE,FALSE,8,10,0.34,1,2,2,2,2,3,2,3,3,"<=50%",FALSE
"111","Public","Hispanic","Single/Absent Parent",-0.92,"Some HS/GED","Advanced Degree","1","1",12,0,36,48.57,"2",FALSE,TRUE,1,10,0.25,1,2,2,2,2,2,2,3,3,"<=30%",FALSE
"112","Public","Black","Single/Absent Parent",0.14,"Bachelors","Advanced Degree","0","0",12,0,36,51.98,"3",FALSE,TRUE,8,10,0.28,1,2,2,2,2,4,2,3,3,">75%",TRUE
"113","Public","Hispanic","Two Parents",-1.02,"Attend PS/Associate's","Advanced Degree","1","1",12,0,36,21.5,"4",TRUE,FALSE,5,12,0.56,1,2,2,2,2,2,2,3,3,">75%",TRUE
"114","Public","White","Two Parents",-0.77,"Some HS/GED","Bachelor's","1","1",12,0,36,51,"3",FALSE,FALSE,4,8,0.42,1,2,2,2,2,2,2,3,3,"<=75%",TRUE
"115","Public","Hispanic","Two Parents",-0.35,"Some HS/GED","Advanced Degree","1","1",12,0,36,35.85,"1",TRUE,FALSE,4,12,0.45,1,2,2,2,2,2,2,3,3,"<=50%",FALSE
"116","Public","White","Two Parents",0.3,"Bachelors","Bachelor's","1","1",12,0,36,46.94,"2",FALSE,FALSE,8,6,0.46,1,2,2,2,2,2,2,3,3,"<=50%",FALSE
"117","Public","Black","Single/Absent Parent",-0.92,"Some HS/GED","Bachelor's","1","1",12,0,36,37.56,"2",FALSE,FALSE,4,8,0.19,1,2,2,2,2,2,2,3,3,"<=50%",FALSE
"118","Public","Hispanic","Single/Absent Parent",-0.61,"Attend PS/Associate's","Bachelor's","1","1",12,0,36,37.17,"2",FALSE,FALSE,6,8,0.28,1,2,2,2,2,3,2,3,3,"<=50%",FALSE
"119","Public",NA,"Two Parents",-0.83,"Some HS/GED","Bachelor's","1","1",12,0,36,40.55,"2",TRUE,FALSE,4,8,0.2,1,2,2,2,2,3,2,3,3,"<=50%",FALSE
"120","Public","White","Two Parents",0.84,"Advanced Degree","Advanced Degree","1","1",12,0,36,58.48,"4",FALSE,FALSE,10,12,0.58,1,2,2,2,2,2,2,3,3,"<=30%",FALSE
"121","Public","Hispanic","Two Parents",-0.68,"Some HS/GED","Bachelor's","0","1",12,0,36,38.43,"2",FALSE,FALSE,4,8,0.25,1,2,2,2,2,3,2,3,3,"<=50%",FALSE
"122","Public","White","Single/Absent Parent",0.4,"Attend PS/Associate's","Bachelor's","1","1",12,0,36,50.32,"4",FALSE,TRUE,7,8,0.53,1,2,2,2,2,1,2,3,3,"<=30%",FALSE
"123","Public",NA,"Single/Absent Parent",0.13,"Bachelors","Bachelor's","1","1",0,-8,21.5,52.58,"4",FALSE,FALSE,8,8,0.56,1,1,2,2,1,2,1,3,3,"<=5%",FALSE
"124","Public",NA,"Two Parents",-1.07,"Some HS/GED","Some HS/GED","0","0",0,-8,25,41.71,"1",FALSE,FALSE,1,4,0.3,3,3,3,3,3,1,1,3,1,"<=50%",FALSE
"125","Public","Hispanic","Two Parents",-1.26,"Some HS/GED","Some HS/GED","1","1",0,-7,23.185,42.99,"3",FALSE,FALSE,1,1,0.29,3,2,2,4,3,3,2,3,1,"<=75%",TRUE
"126","Public","White","Two Parents",-0.73,"Some HS/GED","Advanced Degree","1","1",0,-7,26,42.08,"2",FALSE,TRUE,4,10,0.13,4,4,3,4,2,3,3,3,3,"<=75%",TRUE
"127","Public","Hispanic","Two Parents",-0.02,"Attend PS/Associate's","Advanced Degree","1","1",0,-7,21.5,53.45,"4",FALSE,TRUE,7,12,0.52,2,3,2,3,3,3,1,1,3,"<=75%",TRUE
"128","Public","API","Two Parents",-0.07,"Attend PS/Associate's","Advanced Degree","1","1",0,-7,25,49.13,"1",FALSE,FALSE,6,10,0.42,2,2,2,3,1,3,2,2,3,"<=75%",TRUE
"129","Public","API","Single/Absent Parent",-1.24,"Some HS/GED","Bachelor's","1","1",0,-7,30.85,37.74,"2",FALSE,FALSE,4,8,0.13,1,2,2,2,1,1,1,2,1,"<=75%",TRUE
